prefix1,prefix2,set,q1,q2,q3,q4,q5
er,posttest,1,4.0,5.0,1.0,2.0,3.0
er,posttest,2,4.0,1.0,4.0,2.0,3.0
er,posttest,3,4.0,1.0,2.0,4.0,3.0
er,posttest,4,2.0,5.0,3.0,3.0,1.0
er,posttest,5,4.0,4.0,3.0,1.0,2.0
er,pretest,1,3.0,1.0,5.0,4.0,2.0
er,pretest,2,1.0,5.0,4.0,3.0,2.0
er,pretest,3,4.0,3.0,5.0,2.0,1.0
er,pretest,4,3.0,5.0,2.0,4.0,1.0
er,pretest,5,1.0,4.0,2.0,3.0,4.0
normalization,posttest,1,1.0,2.0,5.0,2.0,4.0
normalization,posttest,2,4.0,3.0,1.0,1.0,5.0
normalization,posttest,3,4.0,3.0,2.0,5.0,1.0
normalization,posttest,4,1.0,5.0,4.0,2.0,2.0
normalization,posttest,5,4.0,5.0,2.0,2.0,1.0
normalization,pretest,1,5.0,4.0,1.0,3.0,2.0
normalization,pretest,2,4.0,5.0,2.0,2.0,1.0
normalization,pretest,3,4.0,5.0,1.0,1.0,1.0
normalization,pretest,4,5.0,4.0,1.0,2.0,3.0
normalization,pretest,5,4.0,3.0,1.0,1.0,4.0
